Smiles,cnnaff,id
[H]OC([H])([H])C([H])([H])N([H])C([H])([H])[C@@]([H])(Sc1c([H])c([C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(F)(F)F)c(=O)n([H])c1[H])C([H])([H])[H],0,10480
[H]C(=C1SC(=O)N([H])C1=O)c1c(C([H])([H])C(=O)OC([H])([H])[H])c(-c2c([H])c([H])c([H])n([H])c2=O)c([H])c([H])c1S(=O)(=O)N([H])[H],0,10482
[H]O[C@]([H])(C([H])([H])OSc1c([H])c(C([H])=C([H])[H])n([H])c(=O)c1C(=O)N([H])N([H])[H])[C@@]([H])(c1c([H])c([H])c(F)c([H])c1[H])N([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],0,10478
[H]OC([H])([H])[C@@]([H])(C([H])([H])N([H])N([H])C(=O)c1c([H])c(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])n(C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1=O)[C@]1([H])N=C(N([H])[H])OC1([H])[H],0,10481
[H]OC(c1c([H])c([H])c([H])c(Sc2c(C([H])([H])N([H])C([H])([H])c3c([H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c([H])c3Cl)c([H])c([H])c(=O)n2[H])c1[H])(C([H])([H])[H])C([H])([H])[H],0,10476
