Smiles,cnnaff,id
[H]Oc1c([H])c(O[H])c([H])c(-c2c(S[H])c(-c3c([H])c([H])c([H])c(N([H])Oc4c([H])c([H])c(F)c([H])c4[H])c3[H])c(N=C=S)n([H])c2=O)c1[H],0,10484
[H]SC([H])([H])c1c([H])c([H])n(-c2c(OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])oc([H])c2[H])c(=O)c1-c1nc2c([H])c(C(=O)N([H])[H])c([H])c([H])c2n1[H],0,10486
[H]ON([H])C(=O)C([H])=C([H])c1c([H])c([C@@]([H])(C(=O)N(O[H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])O[H])c(=O)n([H])c1[H],0,10479
[H]OC(=O)C([H])([H])[C@@]([H])(C([H])([H])OC([H])([H])[C@@]([H])(O[H])N([H])N([H])[H])[C@@]([H])(c1c(C([H])([H])c2nc([H])c([H])c([H])c2[H])c(-c2c([H])nc(N([H])[H])nc2[H])c([H])n([H])c1=O)C([H])([H])OC([H])([H])C([H])([H])[H],0,10485
[H]OP(=O)(O[H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(c1c(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])n(C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])c1=O)C([H])([H])[H],0,10475
