,cnnaff,Smiles
0,5.83298,[H]OC([H])([H])C([H])([H])N([H])C([H])([H])[C@@]([H])(Sc1c([H])c([C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(F)(F)F)c(=O)n([H])c1[H])C([H])([H])[H]
1,5.70959,[H]OC(c1c([H])c([H])c([H])c(Sc2c(C([H])([H])N([H])C([H])([H])c3c([H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c([H])c3Cl)c([H])c([H])c(=O)n2[H])c1[H])(C([H])([H])[H])C([H])([H])[H]
