id,cnnaff,Smiles
15342,-4.69226,[H]Sc1c(N([H])C(=O)c2c([H])c([H])c(OC([H])([H])[C@@]3([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c([H])c2[H])c([H])n([H])c(=O)c1[H]
15343,-4.68876,[H]ON([H])C(=O)C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c(=O)n([H])c1[H]
15344,-4.68691,[H]c1c([H])c(N(C(=O)c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H]
15345,-4.68553,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(c1c(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(=O)n(SC(F)(F)F)c1[H])N([H])C([H])([H])[H]
15346,-4.68451,[H]c1c(S[C@]([H])(C(=O)OC([H])([H])[H])C(=O)N(C([H])([H])C([H])([H])OC([H])([H])[H])[C@]2([H])C([H])([H])[C@@]2([H])N([H])[H])c([H])c(=O)n([H])c1[H]
15347,-4.6845,[H]ON([H])C(=O)C([H])=C([H])c1c(C(=O)N([H])C([H])([H])[C@@]([H])(S[H])c2c([H])c([H])c(C(=O)N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])c([H])c2[H])c([H])c(=O)n([H])c1[H]
15348,-4.68402,[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])n(-c2c([H])c([H])c([H])n2[H])c(=O)c1[H]
15349,-4.68299,[H]c1c(C([H])(F)F)c(C([H])([H])N([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])n([H])c1=O
15350,-4.68271,[H]OC(=O)C([H])([H])O[C@@]1([H])[C@@]([H])(C([H])([H])OC([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])N([H])C([H])([H])C([H])([H])[H])[C@]1([H])N([H])Sc1c([H])c(N=C=S)n([H])c(=O)c1[H]
15351,-4.68248,[H]OC(N(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[C@]([H])(OC(=O)N([H])Sc1c([H])c([H])n([H])c(=O)c1[H])N([H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
